name, sec_per_longdegree, semiminorA, meanmotion, semimajorA, eccentricity
DirecTV-8, 239.28792049474504, 42157.49892960919, 7.293846042816265e-05, 42157.5, 0.000225
DirecTV-9S, 239.28366347266734, 42156.99829209855, 7.293975805388373e-05, 42157.0, 0.000285
DLR Tubsat, 16.51404418542569, 7092.992950793057, 0.0010568757309821497, 7093.0, 0.00141
DMC 3-1, 16.261498672534874, 7020.48702014326, 0.0010732892995540025, 7020.5, 0.0019199999999999998
DMC 3-2, 16.261498672534874, 7020.48702014326, 0.0010732892995540025, 7020.5, 0.0019199999999999998
DMC 3-3, 16.258024364525436, 7019.488870281083, 0.00107351865937819, 7019.5, 0.0017800000000000001
DMSP 5D-2 F14, 16.957787298123158, 7219.497073896491, 0.0010292199219809166, 7219.5, 0.0009
DMSP 5D-3 F15, 16.94193478402235, 7214.996604295805, 0.0010301829597646188, 7215.0, 0.0009699999999999999
DMSP 5D-3 F16, 16.954264090131698, 7218.498597353885, 0.0010294338006744898, 7218.5, 0.0006230000000000001
DMSP 5D-3 F17, 16.957787298123158, 7219.497073896491, 0.0010292199219809166, 7219.5, 0.0009
DMSP 5D-3 F18, 16.964834446133647, 7221.494997574948, 0.001028792386707963, 7221.5, 0.00118
DMSP 5D-3 F19, 16.948979735709273, 7216.9966052368345, 0.0010297547576372107, 7217.0, 0.0009699999999999999
Dove 1c-1 , 16.134846889226992, 6983.995418097008, 0.0010817141705631312, 6984.0, 0.00115
Dove 1c-10 , 16.13311422620042, 6983.494827090516, 0.0010818303444228323, 6983.5, 0.00122
Dove 1c-11, 16.138312401349012, 6984.995418752971, 0.0010814818852115146, 6985.0, 0.00115
Dove 1c-2 , 16.138312401349012, 6984.994201858724, 0.0010814818852115146, 6985.0, 0.0012900000000000001
Dove 1c-3 , 16.1452441698064, 6986.995420064335, 0.001081017563833634, 6987.0, 0.00115
Dove 1c-4 , 16.140045250440018, 6985.495973801717, 0.001081365773709183, 6985.5, 0.00107
Dove 1c-5 , 16.14351113467093, 6986.493541112022, 0.0010811336130254457, 6986.5, 0.0013599999999999999
Dove 1c-6 , 16.140045250440018, 6985.495973801717, 0.001081365773709183, 6985.5, 0.00107
Dove 1c-7  90 Flock 1C-7 0909), 16.134846889226992, 6983.996491980792, 0.0010817141705631312, 6984.0, 0.001
Dove 1c-8 , 16.1452441698064, 6986.99420351842, 0.001081017563833634, 6987.0, 0.0012900000000000001
Dove 1c-9 , 16.141778161548068, 6985.995419408748, 0.001081249682982228, 6986.0, 0.00115
Dove 1d-2 , 15.40237607421319, 6770.997341603377, 0.0011331558478930902, 6771.0, 0.000886
Dove 1e-1 , 15.400670038355177, 6770.499095340017, 0.0011332813751918642, 6770.5, 0.000517
Dove 1e-10 , 15.400670038355177, 6770.499833837972, 0.0011332813751918642, 6770.5, 0.00022200000000000003
Dove 1e-11 , 15.398964065491194, 6769.999335302774, 0.0011334069256681894, 6770.0, 0.000443
Dove 1e-12 , 15.398964065491194, 6769.999335302774, 0.0011334069256681894, 6770.0, 0.000443
Dove 1e-13 , 15.395552308754626, 6768.999335204577, 0.0011336580961774617, 6769.0, 0.000443
Dove 1e-14 , 15.398964065491194, 6769.998818315998, 0.0011334069256681894, 6770.0, 0.000591
Dove 1e-2 , 15.400670038355177, 6770.499095340017, 0.0011332813751918642, 6770.5, 0.000517
Dove 1e-3 , 15.400670038355177, 6770.499833837972, 0.0011332813751918642, 6770.5, 0.00022200000000000003
Dove 1e-4 , 15.398964065491194, 6770.0, 0.0011334069256681894, 6770.0, 0.0
Dove 1e-5 , 15.398964065491194, 6769.998818315998, 0.0011334069256681894, 6770.0, 0.000591
Dove 1e-6 , 15.400670038355177, 6770.499095340017, 0.0011332813751918642, 6770.5, 0.000517
Dove 1e-7 , 15.398964065491194, 6769.999335302774, 0.0011334069256681894, 6770.0, 0.000443
Dove 1e-8 , 15.398964065491194, 6769.999335302774, 0.0011334069256681894, 6770.0, 0.000443
Dove 1e-9 , 15.40237607421319, 6770.999704622649, 0.0011331558478930902, 6771.0, 0.000295
Dove 2b-1, 15.407494559728166, 6772.499833887041, 0.0011327794050021865, 6772.5, 0.00022200000000000003
Dove 2b-10, 15.407494559728166, 6772.496880767093, 0.0011327794050021865, 6772.5, 0.0009599999999999999
Dove 2b-13, 15.409200847539049, 6772.998154436483, 0.0011326539703537385, 6773.0, 0.0007379999999999999
Dove 2b-14, 15.409200847539049, 6772.998818839407, 0.0011326539703537385, 6773.0, 0.000591
Dove 2b-2, 15.409200847539049, 6772.998818839407, 0.0011326539703537385, 6773.0, 0.000591
Dove 2b-3, 15.409200847539049, 6772.999335597192, 0.0011326539703537385, 6773.0, 0.000443
Dove 2b-4, 15.409200847539049, 6772.999926177469, 0.0011326539703537385, 6773.0, 0.000148
Dove 2b-5, 15.410907198332337, 6773.496881227598, 0.0011325285588529123, 6773.5, 0.0009599999999999999
Dove 2b-6, 15.410907198332337, 6773.496881227598, 0.0011325285588529123, 6773.5, 0.0009599999999999999
Dove 2b-7, 15.409200847539049, 6772.997342388376, 0.0011326539703537385, 6773.0, 0.000886
Dove 2b-8, 15.410907198332337, 6773.497767032924, 0.0011325285588529123, 6773.5, 0.0008119999999999999
Dove 2b-9, 15.409200847539049, 6772.997342388376, 0.0011326539703537385, 6773.0, 0.000886
Dove-3, 16.452966197461482, 7074.637093165981, 0.0010607991477327749, 7075.5, 0.0156
DRTS, 239.2921775420676, 42157.99829213906, 7.293716284091653e-05, 42158.0, 0.000285
DSCS III-A3, 239.28792049474504, 42157.49715056623, 7.293846042816265e-05, 42157.5, 0.000368
DSCS III-B6, 239.2921775420676, 42157.991353953286, 7.293716284091653e-05, 42158.0, 0.00064
DSCS III-F10, 239.2921775420676, 42157.989325867995, 7.293716284091653e-05, 42158.0, 0.000712
DSCS III-F11, 239.2921775420676, 42157.92218551574, 7.293716284091653e-05, 42158.0, 0.0019199999999999998
DSCS III-F12, 239.28792049474504, 42157.4981468303, 7.293846042816265e-05, 42157.5, 0.000297
DSCS III-F9, 239.26663563680782, 42155.0, 7.294494894154959e-05, 42155.0, 0.0
DSP 18, 239.31772035613568, 42160.998814069855, 7.292937812532453e-05, 42161.0, 0.00023700000000000001
DSP 20, 240.28049452272114, 42273.99957420637, 7.263715914440527e-05, 42274.0, 0.00014199999999999998
DSP 21, 239.29643461463482, 42158.49399587229, 7.293586529214378e-05, 42158.5, 0.000534
DSP 22, 239.28792049474504, 42157.4754462361, 7.293846042816265e-05, 42157.5, 0.00108
DubaiSat-1, 16.336256117375704, 7041.994248790608, 0.001068377747908805, 7042.0, 0.00128
DubaiSat-2, 16.069049317188437, 6964.994185209346, 0.0010861434410605849, 6965.0, 0.0012900000000000001
Duchifat-1, 16.13138162519977, 6982.9913360965875, 0.0010819465390787416, 6983.0, 0.00158
DX-1, 16.197264048732393, 7001.998214795545, 0.001077545718056575, 7002.0, 0.000714
Eagle 2, 16.15044364726621, 6988.466927731718, 0.0010806695407960273, 6988.5, 0.0030800000000000003
Echostar 1, 239.27940647583463, 42156.4989295838, 7.294105571808137e-05, 42156.5, 0.000225
Echostar 10, 239.28366347266734, 42156.999573024645, 7.293975805388373e-05, 42157.0, 0.00014199999999999998
Echostar 11, 239.27940647583463, 42156.499332843094, 7.294105571808137e-05, 42156.5, 0.000178
Echostar 12 , 239.28792049474504, 42157.49975982921, 7.293846042816265e-05, 42157.5, 0.00010700000000000001
Echostar 14, 239.2921775420676, 42157.99995255942, 7.293716284091653e-05, 42158.0, 4.74e-05
Echostar 15, 239.36880871056735, 42166.99941897692, 7.291381284788417e-05, 42167.0, 0.000166
Echostar 16, 239.28366347266734, 42156.99881395733, 7.293975805388373e-05, 42157.0, 0.00023700000000000001
Echostar 17, 239.29643461463482, 42158.4994989148, 7.293586529214378e-05, 42158.5, 0.000154
Echostar 3, 239.28792049474504, 42157.499854711496, 7.293846042816265e-05, 42157.5, 8.3e-05
Echostar 7, 239.27940647583463, 42156.499854708054, 7.294105571808137e-05, 42156.5, 8.3e-05
Echostar 8, 239.28366347266734, 42156.999893256165, 7.293975805388373e-05, 42157.0, 7.120000000000001e-05
Echostar 9/Galaxy 23, 239.28366347266734, 42156.99856488837, 7.293975805388373e-05, 42157.0, 0.000261
Echostar G1, 239.28366347266734, 42156.99799558787, 7.293975805388373e-05, 42157.0, 0.000308
EKS-1, 119.28894985441859, 18953.317414109857, 0.00014631105849488544, 26505.0, 0.6990000000000001
Electro-L1 (GOMS 2 [Geostationary Operational Meteorological Satellite 2], 237.1625618735169, 41906.956152887076, 7.359210653682959e-05, 41907.5, 0.00509
Electro-L2, 239.01552198187872, 42125.456555389406, 7.302158610965249e-05, 42125.5, 0.00144
ELISA-E12, 16.37977226188913, 7054.494879153291, 0.0010655393885146943, 7054.5, 0.00121
ELISA-E24, 16.37977226188913, 7054.494879153291, 0.0010655393885146943, 7054.5, 0.00121
ELISA-W11, 16.383255220154204, 7055.496013747013, 0.0010653128627620206, 7055.5, 0.00106
ELISA-W23, 16.383255220154204, 7055.496013747013, 0.0010653128627620206, 7055.5, 0.00106
EO-1, 16.38151371016626, 7054.99744861754, 0.0010654261156044385, 7055.0, 0.000851
EOS-AM Terra, 16.4459906606919, 7073.499982328409, 0.0010612490837453154, 7073.5, 7.070000000000001e-05
EOS-CHEM Aura, 16.4459906606919, 7073.499982328409, 0.0010612490837453154, 7073.5, 7.070000000000001e-05
EOS-PM Aqua, 16.4459906606919, 7073.499840955677, 0.0010612490837453154, 7073.5, 0.000212
EROS A1, 15.646986635515123, 6842.497789550246, 0.0011154411342263351, 6842.5, 0.0008039999999999999
EROS B1, 15.782671053230317, 6881.999346120283, 0.0011058516306320053, 6882.0, 0.000436
Eurasiasat 1, 239.27940647583463, 42156.49288069396, 7.294105571808137e-05, 42156.5, 0.0005809999999999999
Eutelsat 10A, 239.4156428952465, 42172.4950174874, 7.289954954021019e-05, 42172.5, 0.00048600000000000005
Eutelsat 113 West-A, 239.28366347266734, 42156.99881395733, 7.293975805388373e-05, 42157.0, 0.00023700000000000001
Eutelsat 115 West-A , 239.27940647583463, 42156.49949889103, 7.294105571808137e-05, 42156.5, 0.000154
Eutelsat 115 West-B, 239.30920598380294, 42160.0, 7.293197287664971e-05, 42160.0, 0.0
Eutelsat 12 West A , 239.28792049474504, 42157.49594081698, 7.293846042816265e-05, 42157.5, 0.000439
Eutelsat 16A, 239.2921775420676, 42157.9992409507, 7.293716284091653e-05, 42158.0, 0.00018999999999999998
Eutelsat 16C, 239.27940647583463, 42156.48823135058, 7.294105571808137e-05, 42156.5, 0.0007469999999999999
Eutelsat 172A, 239.27940647583463, 42156.497838411575, 7.294105571808137e-05, 42156.5, 0.00032
Eutelsat 25B, 238.9431835129443, 42116.994764584044, 7.304369291203402e-05, 42117.0, 0.000499
